type,title,country,release_year,duration,listed_in,description,id,popularity,vote_count,vote_average
Movie,#realityhigh,United States,2017,99 min,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",tt6119504,20.758,870,6.4
Movie,Manhattan Romance,United States,2014,98 min,"Comedies, Independent Movies, Romantic Movies",A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,tt2608324,7.044,24,4.8
Movie,Stonehearst Asylum,United States,2014,113 min,"Horror Movies, Thrillers","In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.",tt1772264,26.797,880,6.7
Movie,The Runner,United States,2015,90 min,"Dramas, Independent Movies",A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,tt1790864,87.885,12504,7.1
Movie,6 Years,United States,2015,80 min,"Dramas, Independent Movies, Romantic Movies","As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",tt3799372,15.477,624,5.4
Movie,Sierra Burgess Is A Loser,United States,2018,106 min,"Comedies, Romantic Movies",A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,tt3120280,31.89,2897,6.4
Movie,Hell and Back,United States,2015,86 min,"Action & Adventure, Comedies, Independent Movies","When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.",tt0048729,4.563,32,6.4
Movie,Carrie Pilby,United States,2016,98 min,"Comedies, Dramas","A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",tt2989524,12.338,256,7.1
Movie,Marc Maron: Too Real,United States,2017,70 min,Stand-Up Comedy,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",tt7335938,6.307,28,7.1
Movie,The World We Make,United States,2019,108 min,"Dramas, Romantic Movies","A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.",tt7643622,6.646,12,6.3
Movie,Black Panther,United States,2018,135 min,"Action & Adventure, Sci-Fi & Fantasy","T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",tt1825683,196.277,15945,7.4
Movie,Gerald's Game,United States,2017,103 min,"Horror Movies, Thrillers","When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice.",tt3748172,28.423,2363,6.4
Movie,Long Shot,United States,2017,40 min,Documentaries,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary.",tt2139881,44.985,1577,6.8
Movie,Our Souls at Night,United States,2017,103 min,"Dramas, Romantic Movies","After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.",tt5034266,9.468,280,6.6
Movie,"Monster High: Boo York, Boo York",United States,2015,72 min,"Children & Family Movies, Music & Musicals",Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.,tt4779496,12.973,54,7.1
Movie,Hold the Dark,United States,2018,126 min,"Action & Adventure, Dramas","In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.",tt5057140,28.269,605,5.2
Movie,In the Shadow of the Moon,United States,2019,116 min,"Dramas, Sci-Fi & Fantasy, Thrillers",A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.,tt8110640,58.043,693,6.2
Movie,Joseph: King of Dreams,United States,2000,75 min,"Children & Family Movies, Dramas, Faith & Spirituality","With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.",tt0264734,34.192,639,6.5
Movie,The Hurricane Heist,United States,2018,103 min,Action & Adventure,A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.,tt5360952,55.143,673,5.6
Movie,Def Comedy Jam 25,United States,2017,82 min,Stand-Up Comedy,"In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam.""",tt7427130,8.329,27,6.5
Movie,Restless Creature: Wendy Whelan,United States,2016,94 min,Documentaries,"After 30 years with the New York City Ballet, celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life.",tt5119264,2.691,9,6.8
Movie,Print the Legend,United States,2014,100 min,Documentaries,"This award-winning, original documentary chronicles the race for market leadership in 3D printing, the next wave of technological evolution.",tt3557464,7.167,33,6.9
Movie,USS Indianapolis: Men of Courage,United States,2016,130 min,Action & Adventure,"After becoming stranded in the Philippine Sea during World War II, a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks.",tt2032572,29.839,419,5.9
